מילה	יחידה	מקור ההוכחה	רפרנס	הערה
מהלמה	2	ויקינתונים · צורה (CC0)	L212713
תגרה	2	ויקינתונים (CC0)	L82421
חלחלה	2	ויקינתונים (CC0)	L77819
סלידה	2	ויקינתונים (CC0)	L80242
עדנה	2	ויקינתונים (CC0)	L215923
דרור	2	ויקינתונים (CC0)	L64751
משגה	2	ויקינתונים (CC0)	L213885
פכחון	2	ויקינתונים (CC0)	L216747
נס	2	ויקינתונים (CC0)	L214751
לח	2	ויקינתונים (CC0)	L212366
דפי	2	ויקינתונים (CC0)	L77089
רבב	2	ויקינתונים (CC0)	L81888
שמץ	2	ויקינתונים (CC0)	L219740
קרטוב	2	ויקינתונים (CC0)	L81761
מגל	2	ויקינתונים (CC0)	L66029
סהר	2	ויקינתונים (CC0)	L79991
חרטום	2	ויקינתונים (CC0)	L65369
פסיפס	2	ויקינתונים (CC0)	L81017
רפאים	2	ויקינתונים (CC0)	L82035
נגף	2	ויקינתונים (CC0)	L214150
סועד	2	ויקינתונים (CC0)	L80032
לצון	2	ויקינתונים (CC0)	L212500
שחוק	2	ויקינתונים (CC0)	L219407
בלוי	2	ויקינתונים (CC0)	L205833
מהול	2	ויקינתונים (CC0)	L212701
זך	2	ויקינתונים (CC0)	L210446
צחור	2	ויקינתונים (CC0)	L217530
חרב	2	ויקינתונים (CC0)	L211124
שוקק	2	ויקינתונים (CC0)	L219842
הומה	2	ויקינתונים (CC0)	L207216
צחיח	2	ויקינתונים (CC0)	L217532
עקר	2	ויקינתונים (CC0)	L216291
לאה	2	ויקינתונים (CC0)	L212255
יגע	2	ויקינתונים (CC0)	L211626
נשגב	2	ויקינתונים (CC0)	L215043
נתעב	2	ויקינתונים (CC0)	L215118
חרישי	2	ויקינתונים (CC0)	L211165
ערב	2	ויקינתונים (CC0)	L216297
דהוי	2	ויקינתונים (CC0)	L206457
סמוק	2	ויקינתונים (CC0)	L215651
גוץ	2	ויקינתונים (CC0)	L206124
תמיר	2	ויקינתונים (CC0)	L220275
שדוף	2	ויקינתונים (CC0)	L219249
עבש	2	ויקינתונים (CC0)	L215894
הדור	2	ויקינתונים (CC0)	L206972
ססגוני	2	ויקינתונים (CC0)	L215721
קפץ ידו	2	ספריא · נחלת הכלל	Shoel uMeshiv Mahadura I 3:200:1 (Lemberg, 1865-1890 [he])
מוסר כליות	2	⚠ דרוש מקור	LeNevukhei HaTekufah 2:1:27 (Merkaz Shapira, 2014 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 2014 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Merkaz Shapira, 2014 · הטענה הקודמת: ספריא · נחלת הכלל / LeNevukhei HaTekufah 2:1:27 (Merkaz Shapira, 2014 [he])
מפח נפש	2	ספריא · נחלת הכלל	Melekhet Shelomoh on Mishnah Rosh Hashanah 2:6:6 (Mishnah, ed. Romm, Vilna 1913 [he])
ירד לסוף דעתו	2	ספריא · נחלת הכלל	Prisha, Choshen Mishpat 290:10:1 (Tur Choshen Mishpat: Vilna, 1923 [he])
עמד על טיבו	2	ספריא · נחלת הכלל	Torat HaBayit HaAroch, The Fifth House, The Second Gate 1 (Gerlitz edition, published by Oraita [he])
העלה חרס בידו	2	ספריא · נחלת הכלל	Havot Yair 215:8 (Chavot Yair, Lemberg, 1896 [he])
לא טמן ידו בצלחת	2	ספריא · נחלת הכלל	Sefer HeArukh, Letter Shin 159 (Sefer HeArukh, Lublin 1883 [he])
מן השפה ולחוץ	2	ספריא · נחלת הכלל	Ohr HaChammah on Zohar 1:193a:10 (Ohr Hachama, Peremyshl, 1896-1898 [he])
למראית עין	2	ספריא · נחלת הכלל	Korban Netanel on Yevamot 10:9 (Vilna Edition [he])
קשה ערף	2	ספריא · נחלת הכלל	Bekhor Shor, Exodus 33:3:2 (Bekhor Shor, Leipzig, 1856 [he])
הסמיך	2	ויקינתונים (CC0)	L208333
השעה	2	ויקינתונים (CC0)	L209036
התריע	2	ויקינתונים (CC0)	L210214
טירון	2	ויקינתונים (CC0)	L78068
תמימי דעים	2	ספריא · נחלת הכלל	Ya'arot Devash II 2:62 (1293 [he])
למצער	3	ספריא · נחלת הכלל	Malbim Beur Hamilot on Isaiah 63:18:1 (On Your Way [he])
להותו	3	ספריא · נחלת הכלל	Sefat Yeter 19 (Sefer Sefat Yeter, Warsaw 1895 [he])
בצותא	3	⚠ דרוש מקור	Hypothetica 46 (Tel Aviv, 1936 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1936 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Tel Aviv, 1936 · הטענה הקודמת: ספריא · נחלת הכלל / Hypothetica 46 (Tel Aviv, 1936 [he])
קמעה	3	ספריא · נחלת הכלל	Perush Maharzu on Bamidbar Rabbah 4:13:5 (Midrash Rabbah, Vilna, 1878 [he])
יומם	3	ויקינתונים (CC0)	L78235
סגפן	3	ויקינתונים (CC0)	L215170
פוחז	3	ויקינתונים (CC0)	L216444
ארכן	3	ויקינתונים (CC0)	L205411
צורף	3	ויקינתונים (CC0)	L217526
נפח	3	ויקינתונים (CC0)	L214851
ספן	3	ויקינתונים (CC0)	L215755
נוד	3	ויקינתונים (CC0)	L214156
התנער	3	ויקינתונים (CC0)	L209855
חפץ	3	ויקינתונים (CC0)	L211088
הסכין	3	ויקינתונים (CC0)	L208325
פצח	3	ויקינתונים (CC0)	L217087
חרץ	3	ויקינתונים (CC0)	L211178
קצף	3	ויקינתונים (CC0)	L218435
געש	3	ויקינתונים (CC0)	L206336
לבה	3	ויקינתונים (CC0)	L78556
נמוג	3	ויקינתונים (CC0)	L214686
גז	3	ויקינתונים (CC0)	L206137
חתר	3	ויקינתונים (CC0)	L211235
מש	3	ויקינתונים (CC0)	L213877
הגיח	3	ויקינתונים (CC0)	L206925
עט	3	ויקינתונים (CC0)	L216027
דאה	3	ויקינתונים (CC0)	L206412
